"brand","model","model_year","milage","engine","accident","clean_title","price","horsepower","engine_displacement","fuel_typeDiesel","fuel_typeE85 Flex Fuel","fuel_typeGasoline","fuel_typeHybrid","fuel_typenot supported","fuel_typePlug-In Hybrid","transmission_groupedDual-Clutch","transmission_groupedManual","transmission_groupedOther","transmission_groupedSingle-Speed","ext_color_groupedBlack","ext_color_groupedBlue","ext_color_groupedBrown","ext_color_groupedGray","ext_color_groupedRare","ext_color_groupedRed","ext_color_groupedWhite","int_color_groupedBlack","int_color_groupedBrown","int_color_groupedGray","int_color_groupedRare","int_color_groupedRed","int_color_groupedWhite"
"Ford","Utility Police Interceptor Base",2013,-0.262302925085315,"300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability",1,1,-0.435178677958931,-0.355280932215846,0.0942563150358785,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Hyundai","Palisade SEL",2021,-0.573183559161884,"3.8L V6 24V GDI DOHC",1,1,-0.0831932085882911,0.276303430131785,0.161725995707733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Lexus","RX 350 RX 350",2022,-0.809719015154452,"3.5 Liter DOHC",0,0,0.127616930132771,0.367110681112652,-0.0015191003993133,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"INFINITI","Q50 Hybrid Sport",2015,0.462409587616246,"354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid",0,1,-0.369113908396493,0.130208863297531,-0.0406830463078318,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Audi","Q3 45 S line Premium Plus",2021,-1.04944779541143,"2.0L I4 16V GDI DOHC Turbo",0,0,-0.121383727300731,0.40508779963349,-1.05272825638566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Acura","ILX 2.4L",2016,1.37063307615941,"2.4 Liter",0,0,-0.378032652287422,-0.383548933818817,-0.0376433311861649,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Audi","S3 2.0T Premium Plus",2017,0.36871324692396,"292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",0,1,-0.172190076046921,-0.427205346365976,-1.05272825638566,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"BMW","740 iL",2001,3.38994219169564,"282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",0,1,-0.473292968091106,-0.517110864053638,0.566544079738864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Lexus","RC 350 F Sport",2021,-0.789373524032698,"311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",0,1,-0.0333651266221605,-0.256384862759417,-0.0406830463078318,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Tesla","Model X Long Range Plus",2020,-0.587371862181002,"534.0HP Electric Motor Electric Fuel System",0,1,0.32266045750249,1.74850818167545,-1.77465730844161,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Land","Rover Range Rover Sport 3.0 Supercharged HST",2021,-0.70959778252898,"V6",0,0,0.372806158553055,0.313190557928194,0.0110483843413651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Aston","Martin DBS Superleggera",2019,-0.802108577685976,"715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel",0,1,1.77933780730072,3.37579805182214,1.10630152511371,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Toyota","Supra 3.0 Premium",2021,-0.998488459096135,"382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",0,1,0.113667099944395,0.381944312822985,-0.378031449667107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Lincoln","Aviator Reserve AWD",2022,-0.889571243466898,"400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",0,1,0.221657588652225,0.543774244660778,-0.378031449667107,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Jaguar","F-TYPE",2020,-0.933417306570452,"2.0 Liter Supercharged",0,0,0.043765491841985,0.346865729388951,0.0464876523951322,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Land","Rover LR4 HSE",2013,0.288402097759143,"375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",0,1,-0.185021887058086,0.319010450441622,0.971362163769995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Mercedes-Benz","Metris Base",2021,-1.20528966819554,"2.0L I4 16V GDI DOHC Turbo",0,1,2.61015310360188,0.447228266628266,-1.05272825638566,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Dodge","Challenger SXT",2013,-0.0696708973028473,"305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",0,1,-0.352597716005884,-0.310328173372015,0.0267866343640234,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Nissan","350Z Enthusiast",2003,0.177496225102967,"287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",0,1,-0.426285343594756,-0.472158105209807,-0.0406830463078318,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
